gwasID,Bolting,InitLeafLen,log_BbLe_max
6919,0,9,0
6967,1,20,4.219507705
6911,0,15,0
8419,0,17,0.693147181
6992,0,25,2.197224577
8259,0,23,0
8213,1,34,4.727387819
8233,0,20,0.693147181
6913,0,24,0
8369,0,20,0
6966,0,35,1.098612289
7515,0,20,0
6043,0,17,0
8365,1,17,3.663561646
7275,1,18,1.386294361
8274,0,25,0
8389,1,24,1.609437912
6988,0,33,0
6931,1,35,4.779123493
7323,1,30,0
6016,0,35,0
8420,1,20,0
8386,0,28,0
8325,1,35,3.951243719
8387,1,25,0
6909,1,27,0.693147181
7438,0,31,0
6953,0,26,1.386294361
6914,0,30,0
7417,0,22,0
6958,0,21,1.098612289
8239,0,28,2.302585093
7526,0,30,0
6924,1,21,0.693147181
8241,0,35,1.609437912
7258,1,29,3.737669618
7327,0,34,0
6897,0,26,0.693147181
8343,0,30,3.36729583
6961,0,32,0
6977,0,33,0.693147181
6046,0,21,0
6984,1,26,1.609437912
7081,1,20,3.583518938
8285,1,30,2.564949357
6009,0,30,0
6928,0,31,0
6962,1,25,3.951243719
7133,0,24,0
8275,0,30,0
7418,1,25,0.693147181
6899,1,32,1.098612289
6906,1,21,2.772588722
6040,0,22,0
7323,0,36,1.098612289
8246,0,25,0
8389,1,32,2.197224577
7298,1,38,1.609437912
8259,0,30,0
8237,0,32,0
8365,1,20,3.555348061
8239,0,35,0
6917,0,30,0
6962,1,20,2.302585093
6039,0,25,0
8335,0,23,0
7514,0,30,1.386294361
6978,1,30,4.248495242
8366,1,32,2.708050201
6965,0,30,0
6906,1,15,0
6938,0,34,0.693147181
8284,0,25,0
6939,1,17,0
7413,1,20,2.772588722
6922,1,21,2.079441542
6928,0,30,0.693147181
8343,1,29,1.386294361
6040,0,28,0
8419,1,30,1.791759469
7515,0,30,0
8422,0,30,0
8285,1,24,0
6929,0,25,1.945910149
8420,1,25,2.564949357
6992,1,26,0
8270,1,31,2.708050201
8310,1,25,3.258096538
6909,1,24,1.098612289
8326,1,36,0
8283,0,24,0
8334,0,30,1.791759469
6940,0,24,1.386294361
6901,0,20,0
8243,0,30,1.386294361
6016,0,29,0
6956,0,27,2.564949357
6046,0,20,0
6042,1,35,3.784189634
7296,0,25,0
6904,0,30,0.693147181
8215,0,23,0
9057,0,26,0
6970,0,26,1.098612289
7373,1,30,1.098612289
8213,1,25,4.454347296
6897,0,27,0
6924,1,15,0
6942,1,25,3.33220451
6909,1,22,0
6980,0,23,0
6900,0,19,0
6926,1,26,2.890371758
8247,0,29,0
8238,1,35,4.110873864
8369,0,18,0
6918,0,20,2.708050201
6932,1,26,2.772588722
8233,0,26,4.262679877
8249,0,30,0
6914,0,25,0
6984,1,20,0
6927,0,36,0
