"GOout.GO","GOout.p_val"
"GO:0009522",0.223308
"GO:0016836",0.223558
"GO:0004176",0.22363
"GO:0031537",0.223777
"GO:0052596",0.223788
"GO:0052594",0.223788
"GO:0052593",0.223788
"GO:0052595",0.223788
"GO:2000117",0.223961
"GO:0005785",0.224484
"GO:0001558",0.224567
"GO:0034484",0.224646
"GO:0003333",0.224702
"GO:0033506",0.224931
"GO:0000902",0.225147
"GO:0009755",0.225486
"GO:0008534",0.226195
"GO:0006226",0.226527
"GO:0046081",0.226527
"GO:0071482",0.226589
"GO:0000275",0.226659
"GO:1900864",0.226771
"GO:0044255",0.226822
"GO:0102549",0.227007
"GO:0010189",0.227195
"GO:2000024",0.22735
"GO:0009308",0.227396
"GO:0006833",0.227421
"GO:0018874",0.228651
"GO:1901002",0.228671
"GO:0042753",0.228694
"GO:0006607",0.228708
"GO:0004435",0.228895
"GO:1990841",0.229266
"GO:0046208",0.229305
"GO:0000172",0.229558
"GO:0009693",0.230281
"GO:0071365",0.23055
"GO:0051571",0.230693
"GO:0051707",0.230731
"GO:0005749",0.230853
"GO:0070973",0.231072
"GO:0015171",0.231488
"GO:0007060",0.23157
"GO:0035065",0.231877
"GO:0002679",0.23252
"GO:2000037",0.232633
"GO:0030130",0.23275
"GO:0030132",0.23275
"GO:0009638",0.233165
"GO:0031012",0.233345
"GO:0005773",0.233429
"GO:0030951",0.234177
"GO:0061863",0.234177
"GO:0070545",0.234276
"GO:0005662",0.234714
"GO:0010043",0.235895
"GO:0017183",0.236349
"GO:0004163",0.236551
"GO:0070534",0.236724
"GO:0006875",0.236806
"GO:0042760",0.237135
"GO:0015910",0.237135
"GO:0006651",0.237368
"GO:0016620",0.237603
"GO:0019253",0.237741
"GO:0000792",0.23819
"GO:0033169",0.238465
"GO:0009533",0.238554
"GO:0016207",0.238555
"GO:0016405",0.238555
"GO:0003881",0.238673
"GO:0005880",0.238944
"GO:0004825",0.238971
"GO:0071985",0.239221
"GO:0032452",0.239916
"GO:0031624",0.240212
"GO:0006071",0.240677
"GO:0000212",0.24124
"GO:0033539",0.241252
"GO:0010601",0.241751
"GO:0008612",0.241799
"GO:0016671",0.24214
"GO:0003713",0.243
"GO:0010431",0.243156
"GO:0006888",0.243311
"GO:0043604",0.243549
"GO:0007142",0.243712
"GO:0003988",0.243759
"GO:0010313",0.244098
"GO:0000177",0.245221
"GO:0019458",0.245619
"GO:0031327",0.245973
"GO:0070483",0.246136
"GO:0016229",0.246257
"GO:0010276",0.246491
"GO:0045727",0.246793
"GO:0010054",0.247184
"GO:0006122",0.247528
"GO:0032366",0.247761
"GO:0031357",0.247839
"GO:0032940",0.248255
"GO:0016328",0.248486
"GO:0010336",0.248596
"GO:0042659",0.248661
